catalog_index,source_index,menu_index,game_code,game_zh,section_zh,category,title_zh,title_en,title_ja,zh_status,en_status,url
1,3,1,GENERAL,综合,综合资料,guide_or_navigation,首页,Top Page,トップページ,translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%a5%c8%a5%c3%a5%d7%a5%da%a1%bc%a5%b8
2,300,2,GENERAL,综合,综合资料,guide_or_navigation,入门说明,Introduction,はじめに,translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%a4%cf%a4%b8%a4%e1%a4%cb
3,145,3,GENERAL,综合,综合资料,guide_or_navigation,新手指南,Beginner's Guide,初心者向けページ,translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%bd%e9%bf%b4%bc%d4%b8%fe%a4%b1%a5%da%a1%bc%a5%b8
4,193,4,GENERAL,综合,综合资料,guide_or_navigation,进阶指南,Road to Improvement,上達への道,translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%be%e5%c3%a3%a4%d8%a4%ce%c6%bb
5,32,5,GENERAL,综合,综合资料,guide_or_navigation,复制能力速查表,Copy Ability Quick Reference,コピー能力早見表,translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b3%a5%d4%a1%bc%c7%bd%ce%cf%c1%e1%b8%ab%c9%bd
6,158,6,WII,星之卡比 Wii,综合资料,mechanics_or_reference,游戏机制（星之卡比 Wii）,Game Mechanics (Kirby's Return to Dream Land),仕様(Wii),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%bb%c5%cd%cd%28Wii%29
7,5,48,WII,星之卡比 Wii,综合资料,media_or_records,视频馆（星之卡比 Wii）,Video Gallery (Kirby's Return to Dream Land),動画館(Wii),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%c6%b0%b2%e8%b4%db%28Wii%29
8,195,49,WII,星之卡比 Wii,综合资料,mechanics_or_reference,数据库（星之卡比 Wii）,Database (Kirby's Return to Dream Land),データベース(Wii),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%a5%c7%a1%bc%a5%bf%a5%d9%a1%bc%a5%b9%28Wii%29
9,178,8,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,复制能力一览（星之卡比 Wii）,Copy Ability List (Kirby's Return to Dream Land),コピー能力一覧(Wii),translated,translated,https://seesaawiki.jp/kirby_shinkaku/d/%a5%b3%a5%d4%a1%bc%c7%bd%ce%cf%b0%ec%cd%f7%28Wii%29
10,94,9,WII,星之卡比 Wii,复制能力与可操作角色,ability_or_playable,冰冻（星之卡比 Wii）,Ice (Kirby's Return to Dream Land),アイス(Wii),official,official,https://seesaawiki.jp/kirby_shinkaku/d/%a5%a2%a5%a4%a5%b9%28Wii%29
