term_id,category,zh_cn,en,ja,aliases_zh,aliases_en,aliases_ja,zh_status,sources,notes,priority,enabled,match_case
ability:ability-block,ability,能力方块,Ability Block,能力ブロック,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 方块; template: 道具；BWIKI page: 能力方块; template: Infobox/道具；BWIKI vertical name table: 道具（卡比方块球）,100,True,False
ability:ability-item,ability,Ability Item,Ability Item,能力アイテム,,,,unchanged,bwiki-infobox,BWIKI page: 能力道具; template: Infobox/道具,100,True,False
ability:adeleine-ribbon,ability,阿朵莱妮&莉宝,Adeleine & Ribbon,アドレーヌ&リボン,星之卡比 新星同盟 阿朵莱妮&莉宝 | 阿朵莱妮&莉宝 STA | 阿朵莱妮&莉宝（星之卡比 新星同盟）,Adeleine & Ribbon (Kirby Star Allies) | Adeleine & Ribbon STA | Kirby Star Allies Adeleine & Ribbon | 阿朵莱妮&莉宝 STA,アドレーヌ&リボン(STA),official,shinkaku-page-names,真格速查 #164,150,True,False
ability:animal-statues,ability,动物盟友雕像,Animal Statues,ストーンカッター,,,,official_reused,bwiki-table,BWIKI vertical name table: 融合复制能力,100,True,False
ability:battle-chariot,ability,战斗战车,Battle Chariot,バトルチャリオット,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 战斗战车; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:blizzard,ability,冰雪,Blizzard,ブリザ〇〇〇〇,,,,official_reused,bwiki-infobox,BWIKI page: 冰雪; template: Infobox/复制能力,100,True,False
ability:bluster,ability,风切,Bluster,ウィンガ〇〇〇〇,,,,official_reused,bwiki-infobox,BWIKI page: 风切; template: Infobox/复制能力,100,True,False
ability:bring-on-the-super-ability,ability,Bring on the Super Ability,Bring on the Super Ability,必殺! スーパー能力,,,,unchanged,bwiki-infobox,BWIKI page: 必杀！超级能力; template: Infobox/音乐,100,True,False
ability:bulk-star,ability,沉重之星,Bulk Star,ヘビースター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 沉重之星; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:bull-tank,ability,公牛坦克,Bull Tank,ブルタンク,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 公牛坦克; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:chariot,ability,战车,Chariot,チャリオット,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 战车; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
ability:compact-star,ability,轻巧之星,Compact Star,ライトスター,,,,official_reused,bwiki-infobox | bwiki-table,BWIKI page: 轻巧之星; template: Infobox/复制能力；BWIKI vertical name table: 驭天飞行器,100,True,False
